ID,Competitor Name,Sex,Age,Age Grouping,Height,Weight,National Code,Example 1,Example 2,Year,Season,Sport,Event,Medal
341,lqar Abdulov,MALE,27,25-30,175,74,AZE,4,6,2008,Summer,Wrestling,"Wrestling Men's Middleweight, Greco-Roman",Not Registered
342,Abdullah Abdulrahman Zeyab,MALE,16,Under 18,177,NULL,KUW,4,6,1972,Summer,Swimming,Swimming Men's 100 metres Freestyle,Not Registered
343,Abir Abdulrahman Khalil Mahmoud Khalil,Female,16,Under 18,162,72,EGY,4,6,2008,Summer,Weightlifting,Weightlifting Women's Light-Heavyweight,Not Registered
343,Abir Abdulrahman Khalil Mahmoud Khalil,Female,20,18-25,162,72,EGY,4,6,2012,Summer,Weightlifting,Weightlifting Women's Heavyweight,Not Registered
344,Amer Abdulrahman Abdallah Hussain Al-Hammadi,MALE,23,18-25,168,68,UAE,4,6,2012,Summer,Football,Football Men's Football,Not Registered
345,Omar Abdulrahman Ahmad Al-Raaqi Al-Amoudi,MALE,20,18-25,168,62,UAE,4,6,2012,Summer,Football,Football Men's Football,Not Registered
346,Shaza Yahia Nazih Abdulrahman El-Sayed,Female,15,Under 18,170,59,EGY,4,6,2008,Summer,Synchronized Swimming,Synchronized Swimming Women's Team,Not Registered
346,Shaza Yahia Nazih Abdulrahman El-Sayed,Female,19,18-25,170,59,EGY,4,6,2012,Summer,Synchronized Swimming,Synchronized Swimming Women's Duet,Not Registered
346,Shaza Yahia Nazih Abdulrahman El-Sayed,Female,19,18-25,170,59,EGY,4,6,2012,Summer,Synchronized Swimming,Synchronized Swimming Women's Team,Not Registered
347,Najim Abdulrazak Al-Enazy,MALE,18,18-25,150,60,KUW,4,6,1980,Summer,Athletics,Athletics Men's Discus Throw,Not Registered
348,Zeyad Abdulrazak Al-Khudhur Al-Enazy,MALE,19,18-25,181,66,KUW,4,6,1988,Summer,Athletics,Athletics Men's 110 metres Hurdles,Not Registered
348,Zeyad Abdulrazak Al-Khudhur Al-Enazy,MALE,23,18-25,181,66,KUW,4,6,1992,Summer,Athletics,Athletics Men's 110 metres Hurdles,Not Registered
349,Waheed Abdulridha Waheed Karaawi,MALE,33,Over 30,178,74,IRQ,4,6,2016,Summer,Boxing,Boxing Men's Middleweight,Not Registered
350,Mohamed Abdultwab Ibrahim Abd El-Baki,MALE,21,18-25,162,69,EGY,4,6,2008,Summer,Weightlifting,Weightlifting Men's Featherweight,Not Registered
350,Mohamed Abdultwab Ibrahim Abd El-Baki,MALE,25,18-25,162,69,EGY,4,6,2012,Summer,Weightlifting,Weightlifting Men's Lightweight,Not Registered
351,Julius Shareef Abdur-Rahim,MALE,23,18-25,202,104,USA,4,6,2000,Summer,Basketball,Basketball Men's Basketball,Gold
352,Sherzod Abdurahmonov,MALE,22,18-25,178,73,UZB,4,6,2004,Summer,Boxing,Boxing Men's Middleweight,Not Registered
353,Rasul Abduraim,MALE,19,18-25,183,74,KGZ,4,6,2008,Summer,Taekwondo,Taekwondo Men's Featherweight,Not Registered
353,Rasul Abduraim,MALE,23,18-25,183,74,KGZ,4,6,2012,Summer,Taekwondo,Taekwondo Men's Welterweight,Not Registered
354,Bekzod Makhamadzhonovich Abdurakhmonov,MALE,26,25-30,172,74,UZB,4,6,2016,Summer,Wrestling,"Wrestling Men's Middleweight, Freestyle",Not Registered
355,Mukhamadmurod Abdurakhmonov,MALE,29,25-30,192,117,TJK,4,6,2016,Summer,Judo,Judo Men's Heavyweight,Not Registered
356,Adlan Aliyevich Abdurashidov,MALE,26,25-30,172,60,RUS,4,6,2016,Summer,Boxing,Boxing Men's Lightweight,Not Registered
